year,n.fish,n.trip,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1991,3,3,0.0000,0.3333,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1992,15,5,0.3333,0.0667,0.5333,0.0667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1993,20,8,0.0500,0.7500,0.0500,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1994,30,10,0.0000,0.0000,0.9667,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1995,9,6,0.0000,0.0000,0.2222,0.7778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1996,9,8,0.1111,0.2222,0.0000,0.3333,0.2222,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1997,40,23,0.1000,0.3500,0.4000,0.0000,0.0250,0.1000,0.0000,0.0000,0.0000,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1998,74,26,0.0000,0.0811,0.6081,0.2297,0.0135,0.0541,0.0135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1999,48,21,0.0000,0.0833,0.3750,0.4167,0.1042,0.0000,0.0208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2000,37,24,0.0000,0.0270,0.0541,0.3243,0.2973,0.2432,0.0541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2001,37,20,0.0000,0.4595,0.0811,0.0811,0.1351,0.2432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2002,36,21,0.1111,0.0833,0.6111,0.0833,0.0000,0.0556,0.0278,0.0278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2003,36,18,0.1111,0.2778,0.1667,0.4167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0278,0.0000,0.0000,0.0000
2004,39,21,0.2308,0.2308,0.4103,0.0513,0.0513,0.0000,0.0000,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2005,29,25,0.0000,0.2759,0.2069,0.3448,0.0690,0.0690,0.0000,0.0000,0.0000,0.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2006,44,18,0.0000,0.0000,0.6136,0.1364,0.2045,0.0227,0.0000,0.0000,0.0000,0.0000,0.0227,0.0000,0.0000,0.0000,0.0000,0.0000
2007,43,21,0.0000,0.0233,0.0233,0.7674,0.1163,0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0465,0.0000,0.0000,0.0000,0.0000
2008,23,12,0.0000,0.0435,0.0000,0.0000,0.7391,0.1304,0.0870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2009,19,18,0.0526,0.0526,0.0526,0.0000,0.0000,0.6842,0.1053,0.0526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2010,40,27,0.1250,0.4000,0.0750,0.0500,0.0000,0.0750,0.2250,0.0250,0.0000,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2011,18,18,0.0000,0.1111,0.2778,0.1667,0.0000,0.0000,0.1667,0.1667,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0556
2012,40,36,0.0250,0.0000,0.2500,0.2250,0.0000,0.0000,0.0000,0.1750,0.1000,0.0500,0.0750,0.0250,0.0250,0.0000,0.0250,0.0000
2013,43,40,0.0698,0.5349,0.0930,0.0930,0.0698,0.0000,0.0000,0.0000,0.0465,0.0698,0.0000,0.0000,0.0000,0.0000,0.0233,0.0000
2014,37,36,0.0000,0.1081,0.0270,0.0270,0.1892,0.2973,0.0270,0.0000,0.0000,0.0000,0.1351,0.1081,0.0811,0.0000,0.0000,0.0000
2015,30,23,0.0333,0.0333,0.1000,0.0333,0.1000,0.1667,0.0667,0.0333,0.0000,0.0667,0.0667,0.2333,0.0333,0.0333,0.0000,0.0000
